name;essround;edition;proddate;idno;cntry;dweight;pweight;polintr;psppsgva;psppipla;trstprl;trstplt;trstprt;vote;pbldmna;clsprty;gndr;agea;edulvlb;hinctnta;prob;stratum;psu
ESS11e01;11;10;20062024;51735;AT;51291066;33091453;2;2;2;8;3;4;2;2;2;2;51;610;3;13370048;55;66
ESS11e01;11;10;20062024;51736;AT;95292634;33091453;2;1;1;5;1;1;1;2;1;1;76;322;2;7196402;52;55
ESS11e01;11;10;20062024;51741;AT;1112123;33091453;4;1;1;0;0;0;1;2;2;1;28;322;1;6166261;101;285
ESS11e01;11;10;20062024;51757;AT;12219335;33091453;3;4;3;9;7;6;1;2;2;1;18;212;10;56121225;38;3
ESS11e01;11;10;20062024;51766;AT;7366085;33091453;3;1;1;0;0;0;2;2;1;1;64;322;2;9309749;21;600
ESS11e01;11;10;20062024;51773;AT;46543378;33091453;3;3;2;4;3;5;1;2;2;1;59;322;4;1473387;40;13
ESS11e01;11;10;20062024;51780;AT;16681843;33091453;2;3;3;3;0;0;1;2;2;2;49;322;8;4110841;101;275
ESS11e01;11;10;20062024;51802;AT;7417395;33091453;2;2;1;5;4;4;1;2;2;1;70;520;3;92453486;29;676
ESS11e01;11;10;20062024;51857;AT;5797645;33091453;3;3;3;7;6;6;1;2;1;2;71;322;2;1182832;87;218
ESS11e01;11;10;20062024;51878;AT;41946852;33091453;1;3;3;7;5;5;2;2;1;1;58;610;1;16348403;76;168
ESS11e01;11;10;20062024;51901;AT;49469304;33091453;2;2;3;6;5;5;1;2;1;2;74;610;4;13862415;82;195
ESS11e01;11;10;20062024;51959;AT;16681842;33091453;3;4;4;7;7;8;3;2;2;1;52;322;6;41108413;101;292
ESS11e01;11;10;20062024;51961;AT;2165643;33091453;2;2;2;3;1;1;1;2;1;1;63;423;7;3166561;53;62
ESS11e01;11;10;20062024;51965;AT;48294932;33091453;4;2;2;3;3;3;1;2;2;2;61;322;3;14199504;17;412
ESS11e01;11;10;20062024;51977;AT;12197962;33091453;3;1;1;7;6;5;2;2;2;2;47;322;7;5621956;69;129
ESS11e01;11;10;20062024;51995;AT;1112123;33091453;2;2;2;5;4;4;1;2;1;1;70;322;5;6166261;101;286
ESS11e01;11;10;20062024;52020;AT;88628477;33091453;2;2;2;3;2;2;1;2;1;1;68;322;9;7737514;77;178
ESS11e01;11;10;20062024;52035;AT;1021017;33091453;3;2;2;5;3;3;1;2;1;2;50;720;6;6716481;11;394
ESS11e01;11;10;20062024;52046;AT;5023222;33091453;1;1;3;2;0;1;1;2;1;1;62;313;7;13651877;8;378
ESS11e01;11;10;20062024;52062;AT;4820758;33091453;3;2;2;10;10;8;1;2;1;2;64;322;2;14225233;41;18
ESS11e01;11;10;20062024;52065;AT;13078378;33091453;2;2;3;9;9;7;1;2;1;1;39;610;8;52434945;109;322
ESS11e01;11;10;20062024;52089;AT;68042654;33091453;3;2;2;10;7;7;1;2;2;2;43;322;3;10078443;2;565
ESS11e01;11;10;20062024;52094;AT;1746908;33091453;4;3;3;2;1;2;1;2;2;1;47;322;6;39255878;100;273
ESS11e01;11;10;20062024;52117;AT;10973082;33091453;3;2;2;4;3;3;1;2;1;2;30;322;7;62495115;51;52
ESS11e01;11;10;20062024;52135;AT;4328124;33091453;2;4;3;7;8;8;1;2;1;2;77;322;3;15844372;16;406
ESS11e01;11;10;20062024;52150;AT;53681755;33091453;2;3;3;4;2;4;1;2;1;2;48;423;8;1277462;59;92
ESS11e01;11;10;20062024;52170;AT;14876366;33091453;3;2;2;1;0;0;1;2;1;2;35;620;7;46097554;30;706
ESS11e01;11;10;20062024;52249;AT;20805652;33091453;4;2;3;4;1;3;1;2;2;1;53;520;9;3296047;35;768
ESS11e01;11;10;20062024;52278;AT;14462273;33091453;2;3;3;4;3;2;1;2;2;1;50;322;6;47417445;41;15
ESS11e01;11;10;20062024;52280;AT;83968544;33091453;3;1;1;7;7;7;2;2;2;2;42;322;3;8166916;80;190
ESS11e01;11;10;20062024;52286;AT;87345386;33091453;2;2;2;5;3;2;1;1;1;2;33;322;6;7851177;100;271
ESS11e01;11;10;20062024;52289;AT;1159529;33091453;2;2;2;4;4;4;3;2;2;1;23;423;8;591416;87;213
ESS11e01;11;10;20062024;52291;AT;45688316;33091453;2;1;3;0;2;2;1;2;2;1;73;212;2;15009616;3;350
ESS11e01;11;10;20062024;52293;AT;6098981;33091453;2;4;4;6;4;6;1;2;1;1;55;520;4;11243912;69;144
ESS11e01;11;10;20062024;52305;AT;68042654;33091453;2;3;3;9;9;9;1;2;1;2;64;322;2;10078443;2;575
ESS11e01;11;10;20062024;52438;AT;69250387;33091453;2;3;3;8;8;7;1;2;1;2;76;610;3;9902675;33;464
ESS11e01;11;10;20062024;52452;AT;74771136;33091453;2;3;2;4;2;2;1;2;1;1;69;800;10;9171508;65;114
ESS11e01;11;10;20062024;52471;AT;9137663;33091453;3;4;4;7;7;7;2;2;2;2;47;422;6;7504808;3;347
ESS11e01;11;10;20062024;52472;AT;13608531;33091453;3;1;1;5;2;2;1;2;2;2;57;610;7;5039222;2;555
ESS11e01;11;10;20062024;52477;AT;10828215;33091453;2;3;3;5;2;1;1;2;1;2;57;322;8;6333122;53;59
ESS11e01;11;10;20062024;52480;AT;32879525;33091453;2;3;2;6;6;6;1;2;1;1;90;322;3;20856871;68;125
ESS11e01;11;10;20062024;52487;AT;45688316;33091453;2;2;4;10;8;4;1;2;2;1;44;610;8;15009616;3;353
ESS11e01;11;10;20062024;52532;AT;13096625;33091453;3;2;2;1;0;0;1;2;2;2;72;212;4;52361895;36;814
ESS11e01;11;10;20062024;52545;AT;3516255;33091453;2;1;3;3;2;2;1;2;1;2;54;620;10;19502683;8;379
ESS11e01;11;10;20062024;52573;AT;340339;33091453;3;3;2;3;3;3;1;2;2;2;24;322;4;2014944;11;393
ESS11e01;11;10;20062024;52600;AT;18296943;33091453;3;1;1;6;6;6;1;2;1;2;42;212;7;37479706;69;147
ESS11e01;11;10;20062024;52616;AT;10159594;33091453;3;3;3;9;8;8;3;2;2;1;17;213;2;67499164;64;109
ESS11e01;11;10;20062024;52629;AT;872949;33091453;2;3;3;8;7;7;1;2;2;2;59;322;6;7855717;105;312
ESS11e01;11;10;20062024;52638;AT;43282503;33091453;2;3;3;6;4;6;2;2;2;2;81;212;2;1584391;99;264
ESS11e01;11;10;20062024;52716;AT;8648057;33091453;1;3;2;3;5;5;2;2;2;1;62;212;6;79296896;97;253
ESS11e01;11;10;20062024;52731;AT;62733126;33091453;3;2;2;5;5;5;1;2;2;2;71;322;3;1093145;110;331
ESS11e01;11;10;20062024;52744;AT;15751429;33091453;2;3;4;9;9;6;1;2;2;1;58;720;7;43536624;88;224
ESS11e01;11;10;20062024;52746;AT;43594596;33091453;2;3;2;7;5;5;1;2;1;2;54;313;7;15730483;109;322
ESS11e01;11;10;20062024;52759;AT;86565006;33091453;2;3;3;6;7;5;1;2;2;2;65;322;6;7921955;99;264
ESS11e01;11;10;20062024;52781;AT;7602457;33091453;4;1;2;5;2;2;2;2;2;2;29;322;1;90202957;91;230
ESS11e01;11;10;20062024;52791;AT;10806355;33091453;3;2;2;5;5;3;1;2;2;2;67;322;7;63459325;58;82
ESS11e01;11;10;20062024;52815;AT;32879525;33091453;3;4;4;4;4;2;1;2;2;1;25;322;6;20856871;68;125
ESS11e01;11;10;20062024;52833;AT;21405962;33091453;2;3;3;4;4;2;1;2;2;1;44;423;8;32036123;56;75
ESS11e01;11;10;20062024;52858;AT;41984272;33091453;1;2;2;4;4;1;1;2;1;2;70;322;3;16333832;80;186
ESS11e01;11;10;20062024;52880;AT;7798974;33091453;3;1;1;6;1;1;3;2;2;2;61;113;2;87930035;44;470
ESS11e01;11;10;20062024;52888;AT;43282506;33091453;2;1;1;3;0;0;2;2;2;2;64;212;1;15843908;99;261
ESS11e01;11;10;20062024;52891;AT;13078378;33091453;2;3;2;5;4;6;1;2;1;1;56;620;8;52434945;109;322
ESS11e01;11;10;20062024;52904;AT;47378042;33091453;2;2;2;3;5;4;1;2;1;1;71;212;2;14474301;24;432
ESS11e01;11;10;20062024;52907;AT;14280057;33091453;1;2;3;3;2;2;1;1;1;1;74;313;8;48022502;27;649
ESS11e01;11;10;20062024;52994;AT;8700288;33091453;2;3;3;7;5;5;1;2;1;2;39;422;4;78820845;103;305
ESS11e01;11;10;20062024;53002;AT;3978003;33091453;1;3;2;7;6;6;1;1;1;1;69;423;5;17238903;9;381
ESS11e01;11;10;20062024;53011;AT;5811279;33091453;2;3;3;5;4;4;1;2;1;2;80;322;3;11800571;75;164
ESS11e01;11;10;20062024;53016;AT;4073112;33091453;1;3;3;6;6;6;1;2;1;2;81;322;3;16836366;38;1
ESS11e01;11;10;20062024;53067;AT;32879528;33091453;3;1;1;5;5;5;2;2;2;2;30;313;2;2085687;68;124
ESS11e01;11;10;20062024;53091;AT;65053284;33091453;1;3;2;6;7;7;1;2;2;2;70;610;6;10541574;54;495
ESS11e01;11;10;20062024;53131;AT;6670056;33091453;3;1;1;3;2;1;1;2;2;2;66;322;2;10281234;28;670
ESS11e01;11;10;20062024;53154;AT;9137663;33091453;3;1;1;0;0;0;1;2;2;1;68;322;4;7504808;3;350
ESS11e01;11;10;20062024;53193;AT;14504194;33091453;2;3;3;4;2;2;1;2;2;1;52;423;7;47280395;61;103
ESS11e01;11;10;20062024;53212;AT;12988544;33091453;2;3;3;6;5;5;1;2;1;1;76;322;7;52797614;10;392
ESS11e01;11;10;20062024;53236;AT;99414355;33091453;1;3;3;7;6;5;1;2;1;2;77;610;5;68980386;84;523
ESS11e01;11;10;20062024;53245;AT;6098981;33091453;4;2;1;3;4;1;2;2;2;2;40;212;2;11243912;69;137
ESS11e01;11;10;20062024;53278;AT;9484116;33091453;2;2;2;3;2;3;1;2;1;2;50;422;10;72306587;39;12
ESS11e01;11;10;20062024;53286;AT;48294935;33091453;2;2;3;0;1;1;2;2;2;2;60;322;2;14199503;17;410
ESS11e01;11;10;20062024;53301;AT;6377034;33091453;2;2;2;3;2;1;1;1;2;1;65;322;6;10753652;6;370
ESS11e01;11;10;20062024;53315;AT;13101807;33091453;3;3;2;0;0;0;2;2;2;1;58;620;9;52341184;100;268
ESS11e01;11;10;20062024;53333;AT;6670056;33091453;1;2;2;8;5;5;1;2;1;1;89;423;4;10281234;28;658
ESS11e01;11;10;20062024;53368;AT;44314238;33091453;3;2;2;0;0;0;1;2;2;2;84;322;3;15475028;77;174
ESS11e01;11;10;20062024;53377;AT;8841214;33091453;2;3;3;5;4;2;1;2;2;2;41;322;9;7756447;60;98
ESS11e01;11;10;20062024;53380;AT;8656501;33091453;3;3;3;5;5;5;2;2;2;2;86;212;2;7921954;99;265
ESS11e01;11;10;20062024;53384;AT;1483479;33091453;2;1;1;1;1;1;1;2;2;2;60;322;6;46226743;29;688
ESS11e01;11;10;20062024;53390;AT;83893704;33091453;2;3;2;8;2;2;1;2;2;1;61;322;3;81742014;76;166
ESS11e01;11;10;20062024;53398;AT;43672693;33091453;2;3;3;6;5;4;1;2;1;1;51;322;4;15702354;100;269
ESS11e01;11;10;20062024;53415;AT;1745898;33091453;3;3;3;6;7;6;2;2;2;1;36;322;7;39278585;105;312
ESS11e01;11;10;20062024;53425;AT;45469967;33091453;2;2;1;4;1;2;1;2;2;2;57;322;2;15081692;83;196
ESS11e01;11;10;20062024;53497;AT;12988544;33091453;1;3;4;8;7;7;1;1;1;1;65;720;6;52797614;10;387
ESS11e01;11;10;20062024;53509;AT;21640618;33091453;2;3;2;5;4;7;1;2;2;2;47;322;6;31688748;16;408
ESS11e01;11;10;20062024;53535;AT;4666434;33091453;2;2;2;4;3;3;1;1;1;2;26;313;1;14695677;71;156
ESS11e01;11;10;20062024;53536;AT;4512756;33091453;2;3;3;8;3;4;1;2;2;2;75;113;2;15196125;98;255
ESS11e01;11;10;20062024;53539;AT;6098981;33091453;4;1;1;4;3;2;2;2;2;1;35;322;3;11243912;69;138
ESS11e01;11;10;20062024;53580;AT;93086755;33091453;3;2;2;10;10;10;1;2;1;2;28;322;6;7366935;40;14
ESS11e01;11;10;20062024;53645;AT;47378042;33091453;1;3;3;6;3;6;1;2;1;1;67;322;4;14474301;24;439
ESS11e01;11;10;20062024;53647;AT;6989865;33091453;3;1;1;1;0;0;1;2;2;2;63;520;8;9810835;26;617
ESS11e01;11;10;20062024;53810;AT;14462273;33091453;3;2;2;6;5;3;1;2;2;2;51;313;8;47417445;41;20
ESS11e01;11;10;20062024;53820;AT;1159529;33091453;4;3;3;3;0;0;2;2;2;2;21;322;4;591416;87;209
ESS11e01;11;10;20062024;53821;AT;9408682;33091453;2;2;2;3;3;3;1;2;2;2;66;610;8;72886306;70;152
